strength,size,separation,noisefrac,mn_sag,mn_sgd,mn_pcpt,mn_passAgr,md_sag,md_sgd,md_pcpt,md_passAgr,var_sag,var_sgd,var_pcpt,var_passAgr
300,100,0.42,0.2,1,1,1,0.998333333333,1,1,1,1,0,0,0,2.5E-05
300,100,0.42,0.25,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.42,0.3,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.42,0.35,1,1,1,0.998333333333,1,1,1,1,0,0,0,2.5E-05
300,100,0.42,0.4,1,0.996666666667,1,1,1,1,1,1,0,4.44444444444E-05,0,0
300,100,0.42,0.45,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.42,0.5,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.42,0.55,1,1,1,0.998333333333,1,1,1,1,0,0,0,2.5E-05
300,100,0.42,0.6,1,1,1,0.998333333333,1,1,1,1,0,0,0,2.5E-05
300,100,0.42,0.65,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.42,0.7,0.998333333333,1,1,1,1,1,1,1,2.5E-05,0,0,0
300,100,0.42,0.75,0.993333333333,0.998333333333,1,1,1,1,1,1,6.66666666667E-05,2.5E-05,0,0
300,100,0.42,0.8,0.998333333333,1,1,1,1,1,1,1,2.5E-05,0,0,0
300,100,0.42,0.85,0.94,1,0.998333333333,1,0.95,1,1,1,0.00101111111111,0,2.5E-05,0
300,100,0.42,0.9,0.713333333333,0.998333333333,0.998333333333,0.998333333333,0.708333333333,1,1,1,0.00371111111111,2.5E-05,2.5E-05,2.5E-05
300,100,0.43,0,1,1,0.996666666667,1,1,1,1,1,0,0,4.44444444444E-05,0
300,100,0.43,0.05,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.43,0.1,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.43,0.15,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.43,0.2,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.43,0.25,1,1,0.998333333333,0.996666666667,1,1,1,1,0,0,2.5E-05,4.44444444444E-05
300,100,0.43,0.3,1,1,0.998333333333,1,1,1,1,1,0,0,2.5E-05,0
300,100,0.43,0.35,1,1,0.998333333333,0.998333333333,1,1,1,1,0,0,2.5E-05,2.5E-05
300,100,0.43,0.4,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.43,0.45,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.43,0.5,0.998333333333,1,1,1,1,1,1,1,2.5E-05,0,0,0
300,100,0.43,0.55,0.998333333333,0.998333333333,1,1,1,1,1,1,2.5E-05,2.5E-05,0,0
300,100,0.43,0.6,0.996666666667,1,1,1,1,1,1,1,4.44444444444E-05,0,0,0
300,100,0.43,0.65,0.973333333333,1,1,1,0.966666666667,1,1,1,0.000177777777778,0,0,0
300,100,0.43,0.7,1,0.998333333333,1,1,1,1,1,1,0,2.5E-05,0,0
300,100,0.43,0.75,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.43,0.8,0.988333333333,0.998333333333,1,1,0.991666666667,1,1,1,0.000225,2.5E-05,0,0
300,100,0.43,0.85,0.943333333333,1,1,1,0.95,1,1,1,0.00134444444444,0,0,0
300,100,0.43,0.9,0.746666666667,0.991666666667,0.996666666667,0.993333333333,0.75,1,1,1,0.00693333333333,0.000180555555556,4.44444444444E-05,0.000122222222222
300,100,0.44,0,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.44,0.05,1,0.998333333333,1,1,1,1,1,1,0,2.5E-05,0,0
300,100,0.44,0.1,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.44,0.15,1,1,1,0.998333333333,1,1,1,1,0,0,0,2.5E-05
300,100,0.44,0.2,0.998333333333,1,1,0.998333333333,1,1,1,1,2.5E-05,0,0,2.5E-05
300,100,0.44,0.25,0.998333333333,0.998333333333,1,1,1,1,1,1,2.5E-05,2.5E-05,0,0
300,100,0.44,0.3,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.44,0.35,1,0.998333333333,1,0.998333333333,1,1,1,1,0,2.5E-05,0,2.5E-05
300,100,0.44,0.4,1,0.998333333333,1,1,1,1,1,1,0,2.5E-05,0,0
300,100,0.44,0.45,0.991666666667,0.998333333333,1,0.996666666667,0.991666666667,1,1,1,6.94444444444E-05,2.5E-05,0,0.0001
300,100,0.44,0.5,1,0.998333333333,0.998333333333,1,1,1,1,1,0,2.5E-05,2.5E-05,0
300,100,0.44,0.55,0.996666666667,1,0.998333333333,1,1,1,1,1,4.44444444444E-05,0,2.5E-05,0
300,100,0.44,0.6,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.44,0.65,0.981666666667,0.998333333333,1,1,0.991666666667,1,1,1,0.000469444444444,2.5E-05,0,0
300,100,0.44,0.7,0.93,1,1,1,0.925,1,1,1,0.00104444444444,0,0,0
300,100,0.44,0.75,0.931666666667,1,0.998333333333,0.998333333333,0.941666666667,1,1,1,0.00230277777778,0,2.5E-05,2.5E-05
300,100,0.44,0.8,0.986666666667,1,1,1,0.983333333333,1,1,1,0.000155555555556,0,0,0
300,100,0.44,0.85,0.935,1,1,1,0.925,1,1,1,0.00146944444444,0,0,0
300,100,0.44,0.9,0.701666666667,0.991666666667,0.998333333333,0.995,0.708333333333,1,1,1,0.00313611111111,0.000180555555556,2.5E-05,0.000113888888889
300,100,0.45,0,1,0.998333333333,1,0.998333333333,1,1,1,1,0,2.5E-05,0,2.5E-05
300,100,0.45,0.05,1,1,0.996666666667,1,1,1,1,1,0,0,4.44444444444E-05,0
300,100,0.45,0.1,1,1,1,1,1,1,1,1,0,0,0,0
300,100,0.45,0.15,0.99,1,0.998333333333,1,0.991666666667,1,1,1,0.000122222222222,0,2.5E-05,0
